卫视,#genre#
天津卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227306/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226742/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226048/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226465/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226926/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227020/index.m3u8
云南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226816/index.m3u8#http://[2409:8087:1408:26::1029]/wh7f454c46tw2327355245_205066650/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226816/index.m3u8
河北卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226774/index.m3u8#http://[2409:8087:1408:26::1023]/wh7f454c46tw2213236550_572532405/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226774/index.m3u8

央视,#genre#
CCTV-10,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226702/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226184/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227321/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226462/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226904/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226966/index.m3u8
CCTV-11,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226753/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227251/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226851/index.m3u8#http://[2409:8087:1408:26::1109]/wh7f454c46tw1557089762_-1190747702/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226753/index.m3u8
CCTV-17,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226841/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226869/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227352/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226567/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226594/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226857/index.m3u8#http://[2409:8087:1408:26::101b]/wh7f454c46tw604950489_772413056/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226841/index.m3u8
CCTV-1,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226190/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227209/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226721/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226675/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221225977/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226415/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226443/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226896/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227005/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227090/index.m3u8#http://[2409:8087:1408:26::114c]/wh7f454c46tw435600946_1389362233/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226721/index.m3u8
CCTV-2,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226703/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226711/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227206/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226178/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226417/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226843/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226929/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226468/index.m3u8#http://[2409:8087:1408:26::110e]/wh7f454c46tw479596349_322208068/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226711/index.m3u8
CCTV-12,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227343/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226183/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226736/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226439/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226906/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226921/index.m3u8
CCTV-3,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227215/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227333/index.m3u8
CCTV-7,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226175/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226905/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226925/index.m3u8
